NZ_AP013028.1	153	1535	+	chromosomal replication initiator protein DnaA	WP_041044912.1	202	FF8AD8	DnaA
NZ_AP013028.1	56725	58218	-	YifB family Mg chelatase-like AAA ATPase	WP_041044988.1	526	f3f3f3	-1
NZ_AP013028.1	58993	61554	-	ATP-dependent chaperone ClpB	WP_041044990.1	566	f3f3f3	-1
NZ_AP013028.1	62176	63051	+	Rpn family recombination-promoting nuclease/putative transposase	WP_041044992.1	17	f3f3f3	-1
NZ_AP013028.1	63201	64694	-	IMP dehydrogenase	WP_041044994.1	543	f3f3f3	-1
NZ_AP013028.1	64899	65780	+	tetratricopeptide repeat protein	WP_041044996.1	-1	f3f3f3	-1
NZ_AP013028.1	66030	66413	-	leucine-rich repeat domain-containing protein	WP_052463161.1	-1	f3f3f3	-1
NZ_AP013028.1	66419	66685	-	hypothetical protein	WP_145971826.1	-1	f3f3f3	-1
NZ_AP013028.1	66878	68095	+	ankyrin repeat domain-containing protein	WP_070104838.1	-1	f3f3f3	-1
NZ_AP013028.1	68132	69079	-	MFS transporter	WP_052463164.1	-1	f3f3f3	-1
NZ_AP013028.1	69101	69349	-	MFS transporter	WP_052463165.1	-1	f3f3f3	-1
NZ_AP013028.1	72333	73847	+	protein translocase subunit SecD	WP_041044998.1	376	f3f3f3	-1
NZ_AP013028.1	73907	75091	+	dicarboxylate/amino acid:cation symporter	WP_041045000.1	98	f3f3f3	-1
NZ_AP013028.1	75098	75700	+	orotate phosphoribosyltransferase	WP_041045002.1	503	f3f3f3	-1
NZ_AP013028.1	76290	77228	+	Rpn family recombination-promoting nuclease/putative transposase	WP_041045004.1	17	f3f3f3	-1
NZ_AP013028.1	78480	80540	-	hypothetical protein	WP_145971827.1	-1	f3f3f3	-1
NZ_AP013028.1	80600	81964	-	hypothetical protein	WP_052463168.1	-1	f3f3f3	-1
NZ_AP013028.1	82197	82982	+	P-type conjugative transfer protein VirB9	WP_041045008.1	725	f3f3f3	-1
NZ_AP013028.1	83546	84193	+	transcriptional regulator	WP_041045010.1	699	f3f3f3	-1
NZ_AP013028.1	84206	84793	-	RlmE family RNA methyltransferase	WP_041045012.1	111	f3f3f3	-1
NZ_AP013028.1	84867	85451	-	DUF2497 domain-containing protein	WP_041045015.1	1570	f3f3f3	-1
NZ_AP013028.1	85471	86724	-	membrane protein	WP_041045017.1	528	f3f3f3	-1
NZ_AP013028.1	86857	87315	+	50S ribosomal protein L13	WP_041046519.1	320	f3f3f3	-1
NZ_AP013028.1	87326	87772	+	30S ribosomal protein S9	WP_041045019.1	360	f3f3f3	-1
NZ_AP013028.1	87921	88224	+	HU family DNA-binding protein	WP_041045022.1	14	f3f3f3	-1
NZ_AP013028.1	88225	88932	-	pyridoxine 5'-phosphate synthase	WP_041045024.1	674	f3f3f3	-1
NZ_AP013028.1	90663	90956	+	hypothetical protein	WP_145971828.1	-1	f3f3f3	-1
NZ_AP013028.1	90972	91166	+	hypothetical protein	WP_041045028.1	-1	f3f3f3	-1
NZ_AP013028.1	91260	91460	+	hypothetical protein	WP_041045030.1	-1	f3f3f3	-1
NZ_AP013028.1	91863	92912	+	Fic family protein	WP_041045032.1	1577	f3f3f3	-1
NZ_AP013028.1	93007	93791	+	4-hydroxy-tetrahydrodipicolinate reductase	WP_041045034.1	630	f3f3f3	-1
NZ_AP013028.1	93792	94546	+	phosphate ABC transporter ATP-binding protein	WP_041045036.1	53	f3f3f3	-1
NZ_AP013028.1	94547	95725	-	1-deoxy-D-xylulose-5-phosphate reductoisomerase	WP_041045038.1	583	f3f3f3	-1
NZ_AP013028.1	95785	96288	-	hypothetical protein	WP_041045040.1	-1	f3f3f3	-1
NZ_AP013028.1	96399	96830	-	protoporphyrinogen oxidase HemJ	WP_041045043.1	737	f3f3f3	-1
NZ_AP013028.1	96885	97868	+	pyruvate dehydrogenase (acetyl-transferring) E1 component subunit alpha	WP_041046521.1	776	f3f3f3	-1
NZ_AP013028.1	98711	100138	-	metalloprotease TldD	WP_041045045.1	664	f3f3f3	-1
NZ_AP013028.1	100350	100835	+	hypothetical protein	WP_041045047.1	-1	f3f3f3	-1
NZ_AP013028.1	101073	101318	+	hypothetical protein	WP_041045049.1	-1	f3f3f3	-1
NZ_AP013028.1	102148	103638	-	ATP-dependent protease ATPase subunit HslU	WP_041045051.1	395	f3f3f3	-1
NZ_AP013028.1	103640	104194	-	ATP-dependent protease subunit HslV	WP_041045053.1	384	f3f3f3	-1
NZ_AP013028.1	104310	105470	+	glutamate--cysteine ligase	WP_041045055.1	1016	f3f3f3	-1
NZ_AP013028.1	107756	108769	-	ferrochelatase	WP_041045057.1	478	f3f3f3	-1
NZ_AP013028.1	110125	110550	+	nucleoside-diphosphate kinase	WP_041045059.1	356	f3f3f3	-1
NZ_AP013028.1	110584	111462	-	zinc ABC transporter solute-binding protein	WP_041045061.1	581	f3f3f3	-1
NZ_AP013028.1	111463	112199	+	metal ABC transporter ATP-binding protein	WP_041045063.1	565	f3f3f3	-1
NZ_AP013028.1	112200	113630	+	2-polyprenylphenol 6-hydroxylase	WP_041045065.1	484	f3f3f3	-1
NZ_AP013028.1	113863	115092	+	cytochrome b/b6	WP_041045067.1	754	f3f3f3	-1
NZ_AP013028.1	115284	116015	+	cytochrome c1	WP_041046525.1	723	f3f3f3	-1
NZ_AP013028.1	116094	118043	+	excinuclease ABC subunit UvrB	WP_041045069.1	211	f3f3f3	-1
NZ_AP013028.1	118608	119813	-	succinyl-diaminopimelate desuccinylase	WP_041045071.1	831	f3f3f3	-1
NZ_AP013028.1	119856	121214	+	iron-containing alcohol dehydrogenase	WP_041045073.1	1009	f3f3f3	-1
NZ_AP013028.1	121238	122020	-	hypothetical protein	WP_041045075.1	-1	f3f3f3	-1
NZ_AP013028.1	122120	123184	-	DNA-protecting protein DprA	WP_041045077.1	388	f3f3f3	-1
NZ_AP013028.1	123246	123620	+	ferredoxin family protein	WP_041045079.1	709	f3f3f3	-1
NZ_AP013028.1	123851	124778	+	D-alanine--D-alanine ligase	WP_084221165.1	429	f3f3f3	-1
NZ_AP013028.1	124779	125537	+	FtsQ-type POTRA domain-containing protein	WP_041045083.1	716	f3f3f3	-1
NZ_AP013028.1	128743	129366	+	M23 family metallopeptidase	WP_041045087.1	77	f3f3f3	-1
NZ_AP013028.1	129379	131922	+	leucine--tRNA ligase	WP_041045089.1	339	f3f3f3	-1
NZ_AP013028.1	133264	133728	+	hypothetical protein	WP_052463170.1	-1	f3f3f3	-1
NZ_AP013028.1	134650	135333	-	endonuclease III	WP_052463335.1	313	f3f3f3	-1
NZ_AP013028.1	135353	136780	-	isocitrate dehydrogenase	WP_041045091.1	509	f3f3f3	-1
NZ_AP013028.1	136937	137251	+	hypothetical protein	WP_084221203.1	-1	f3f3f3	-1
NZ_AP013028.1	138097	138774	-	MFS transporter	WP_052463173.1	62	f3f3f3	-1
NZ_AP013028.1	139024	139293	+	IS5 family transposase	WP_145971829.1	-1	f3f3f3	-1
NZ_AP013028.1	140081	143221	+	bifunctional proline dehydrogenase/L-glutamate gamma-semialdehyde dehydrogenase PutA	WP_041045095.1	711	f3f3f3	-1
NZ_AP013028.1	143569	144132	+	hypothetical protein	WP_041045098.1	1592	f3f3f3	-1
NZ_AP013028.1	144133	145633	+	hypothetical protein	WP_084221166.1	1592	f3f3f3	-1
NZ_AP013028.1	145634	147439	-	succinate dehydrogenase flavoprotein subunit	WP_041045103.1	73	f3f3f3	-1
NZ_AP013028.1	148257	148553	+	hypothetical protein	WP_041045107.1	713	f3f3f3	-1
NZ_AP013028.1	148561	149154	-	hypothetical protein	WP_041045109.1	998	f3f3f3	-1
NZ_AP013028.1	149238	149573	-	divalent-cation tolerance protein CutA	WP_070104825.1	197	f3f3f3	-1
NZ_AP013028.1	149781	150041	+	IS5 family transposase	WP_145971830.1	-1	f3f3f3	-1
NZ_AP013028.1	150567	151268	-	hypothetical protein	WP_041045111.1	-1	f3f3f3	-1
NZ_AP013028.1	151412	151621	+	hypothetical protein	WP_041045113.1	-1	f3f3f3	-1
NZ_AP013028.1	151696	152730	+	FtsH protease activity modulator HflK	WP_041045115.1	171	f3f3f3	-1
NZ_AP013028.1	152733	153605	+	protease modulator HflC	WP_041045117.1	301	f3f3f3	-1
NZ_AP013028.1	153609	155096	+	DegQ family serine endoprotease	WP_041045119.1	110	f3f3f3	-1
NZ_AP013028.1	156117	156551	+	DUF1016 family protein	WP_041046537.1	-1	f3f3f3	-1
NZ_AP013028.1	157350	157679	-	ankyrin repeat domain-containing protein	WP_041045121.1	-1	f3f3f3	-1
NZ_AP013028.1	157718	157897	-	ankyrin repeat domain-containing protein	WP_084221168.1	2	f3f3f3	-1
NZ_AP013028.1	157943	158182	-	ankyrin repeat domain-containing protein	WP_052463174.1	2	f3f3f3	-1
NZ_AP013028.1	158900	160435	+	methionine--tRNA ligase	WP_041045123.1	295	f3f3f3	-1
NZ_AP013028.1	160448	160912	-	hypothetical protein	WP_041045125.1	1591	f3f3f3	-1
NZ_AP013028.1	161026	162477	-	replicative DNA helicase	WP_041045127.1	123	f3f3f3	-1
NZ_AP013028.1	162695	163303	+	RDD family protein	WP_041046539.1	763	f3f3f3	-1
NZ_AP013028.1	167366	168232	+	4-(cytidine 5'-diphospho)-2-C-methyl-D-erythritol kinase	WP_041045129.1	535	f3f3f3	-1
NZ_AP013028.1	168245	168601	+	hypothetical protein	WP_052463336.1	-1	f3f3f3	-1
NZ_AP013028.1	168603	169412	+	metal ABC transporter permease	WP_041045133.1	490	f3f3f3	-1
NZ_AP013028.1	169472	170470	+	DNA polymerase III subunit delta	WP_041045135.1	764	f3f3f3	-1
NZ_AP013028.1	170825	171286	+	dUTP diphosphatase	WP_041046540.1	396	f3f3f3	-1
NZ_AP013028.1	171396	172028	+	hypothetical protein	WP_041045137.1	-1	f3f3f3	-1
NZ_AP013028.1	172604	174093	+	murein biosynthesis integral membrane protein MurJ	WP_041045139.1	351	f3f3f3	-1
NZ_AP013028.1	174094	176631	+	hypothetical protein	WP_041045141.1	771	f3f3f3	-1
NZ_AP013028.1	177621	177812	-	hypothetical protein	WP_052463175.1	-1	f3f3f3	-1
NZ_AP013028.1	178986	179513	+	phospholipase D family protein	WP_041045143.1	1574	f3f3f3	-1
NZ_AP013028.1	179605	180144	+	hypothetical protein	WP_041045145.1	-1	f3f3f3	-1
NZ_AP013028.1	180263	181021	+	hypothetical protein	WP_041045147.1	1010	f3f3f3	-1
NZ_AP013028.1	181066	181905	+	glycine--tRNA ligase subunit alpha	WP_084221169.1	251	f3f3f3	-1
NZ_AP013028.1	181909	184010	+	glycine--tRNA ligase subunit beta	WP_041045151.1	383	f3f3f3	-1
NZ_AP013028.1	184011	185831	+	excinuclease ABC subunit UvrC	WP_041045154.1	267	f3f3f3	-1
NZ_AP013028.1	185960	186574	-	DUF1016 family protein	WP_052463176.1	1306	f3f3f3	-1
NZ_AP013028.1	187428	187876	-	hypothetical protein	WP_041045156.1	-1	f3f3f3	-1
NZ_AP013028.1	187877	188173	-	hypothetical protein	WP_041045158.1	-1	f3f3f3	-1
NZ_AP013028.1	188302	189345	-	hypothetical protein	WP_145971831.1	-1	f3f3f3	-1
NZ_AP013028.1	190212	190691	-	hypothetical protein	WP_145971832.1	-1	f3f3f3	-1
NZ_AP013028.1	190814	191059	-	hypothetical protein	WP_052463178.1	-1	f3f3f3	-1
NZ_AP013028.1	191319	192320	+	porphobilinogen synthase	WP_041045162.1	237	f3f3f3	-1
NZ_AP013028.1	192383	192643	+	IS5 family transposase	WP_145971824.1	-1	f3f3f3	-1
NZ_AP013028.1	194149	194726	+	NADH-quinone oxidoreductase subunit J	WP_041045164.1	511	f3f3f3	-1
NZ_AP013028.1	194727	195035	+	NADH-quinone oxidoreductase subunit NuoK	WP_041045166.1	590	f3f3f3	-1
NZ_AP013028.1	195040	196896	+	NADH-quinone oxidoreductase subunit L	WP_041045168.1	464	f3f3f3	-1
NZ_AP013028.1	196900	198338	+	NADH-quinone oxidoreductase subunit M	WP_041045170.1	546	f3f3f3	-1
NZ_AP013028.1	198339	199733	+	NADH-quinone oxidoreductase subunit N	WP_041045172.1	506	f3f3f3	-1
NZ_AP013028.1	199735	200526	+	biotin--[acetyl-CoA-carboxylase] ligase	WP_041045174.1	359	f3f3f3	-1
NZ_AP013028.1	200644	201042	+	cytochrome c maturation protein CcmE	WP_041045176.1	404	f3f3f3	-1
NZ_AP013028.1	201051	201753	-	ATP-binding cassette domain-containing protein	WP_041045178.1	52	f3f3f3	-1
NZ_AP013028.1	201754	202536	-	ABC transporter permease	WP_041045181.1	334	f3f3f3	-1
NZ_AP013028.1	203006	203194	-	hypothetical protein	WP_145971833.1	-1	f3f3f3	-1
NZ_AP013028.1	203351	203827	+	recombinase family protein	WP_052463179.1	145	f3f3f3	-1
NZ_AP013028.1	203836	205152	+	hypothetical protein	WP_052463180.1	145	f3f3f3	-1
NZ_AP013028.1	207361	208229	+	hydroxymethylbilane synthase	WP_041045183.1	157	f3f3f3	-1
NZ_AP013028.1	208230	209117	+	UDP-N-acetylmuramate dehydrogenase	WP_041045185.1	344	f3f3f3	-1
NZ_AP013028.1	209402	210028	+	hypothetical protein	WP_041045187.1	983	f3f3f3	-1
NZ_AP013028.1	210045	211319	+	flavodoxin-dependent (E)-4-hydroxy-3-methylbut-2-enyl-diphosphate synthase	WP_041045189.1	486	f3f3f3	-1
NZ_AP013028.1	212008	212730	-	DNA repair protein RecO	WP_041045191.1	720	f3f3f3	-1
NZ_AP013028.1	212996	213370	+	30S ribosomal protein S12	WP_041045193.1	187	f3f3f3	-1
NZ_AP013028.1	213376	213855	+	30S ribosomal protein S7	WP_041045195.1	399	f3f3f3	-1
NZ_AP013028.1	213877	215943	+	elongation factor G	WP_041045197.1	269	f3f3f3	-1
NZ_AP013028.1	215955	217130	+	elongation factor Tu	WP_041045201.1	102	f3f3f3	-1
NZ_AP013028.1	217199	217497	+	30S ribosomal protein S10	WP_052463338.1	321	f3f3f3	-1
NZ_AP013028.1	217498	218223	+	50S ribosomal protein L3	WP_041045203.1	183	f3f3f3	-1
NZ_AP013028.1	218226	218836	+	50S ribosomal protein L4	WP_041045205.1	264	f3f3f3	-1
NZ_AP013028.1	218837	219124	+	50S ribosomal protein L23	WP_041045207.1	393	f3f3f3	-1
NZ_AP013028.1	219126	219950	+	50S ribosomal protein L2	WP_041045209.1	180	f3f3f3	-1
NZ_AP013028.1	219954	220238	+	30S ribosomal protein S19	WP_041045211.1	309	f3f3f3	-1
NZ_AP013028.1	220244	220594	+	50S ribosomal protein L22	WP_041045213.1	243	f3f3f3	-1
NZ_AP013028.1	220633	221253	+	30S ribosomal protein S3	WP_041045215.1	375	f3f3f3	-1
NZ_AP013028.1	221265	221678	+	50S ribosomal protein L16	WP_041045217.1	210	f3f3f3	-1
NZ_AP013028.1	221690	221885	+	50S ribosomal protein L29	WP_041046548.1	338	f3f3f3	-1
NZ_AP013028.1	221886	222119	+	30S ribosomal protein S17	WP_041045219.1	275	f3f3f3	-1
NZ_AP013028.1	222129	222488	+	50S ribosomal protein L14	WP_041045221.1	405	f3f3f3	-1
NZ_AP013028.1	222488	222805	+	50S ribosomal protein L24	WP_041045223.1	156	f3f3f3	-1
NZ_AP013028.1	222812	223345	+	50S ribosomal protein L5	WP_041045225.1	286	f3f3f3	-1
NZ_AP013028.1	223362	223670	+	30S ribosomal protein S14	WP_041045227.1	220	f3f3f3	-1
NZ_AP013028.1	223690	224085	+	30S ribosomal protein S8	WP_041045229.1	350	f3f3f3	-1
NZ_AP013028.1	224102	224647	+	50S ribosomal protein L6	WP_041045231.1	193	f3f3f3	-1
NZ_AP013028.1	224653	225024	+	50S ribosomal protein L18	WP_041045233.1	317	f3f3f3	-1
NZ_AP013028.1	225037	225549	+	30S ribosomal protein S5	WP_041045235.1	259	f3f3f3	-1
NZ_AP013028.1	225553	226023	+	50S ribosomal protein L15	WP_052463181.1	390	f3f3f3	-1
NZ_AP013028.1	226027	227351	+	preprotein translocase subunit SecY	WP_041046552.1	173	f3f3f3	-1
NZ_AP013028.1	227352	228002	+	adenylate kinase	WP_041045236.1	302	f3f3f3	-1
NZ_AP013028.1	228062	228430	+	30S ribosomal protein S13	WP_041045238.1	236	f3f3f3	-1
NZ_AP013028.1	228455	228841	+	30S ribosomal protein S11	WP_041045240.1	369	f3f3f3	-1
NZ_AP013028.1	228863	229930	+	DNA-directed RNA polymerase subunit alpha	WP_041045242.1	311	f3f3f3	-1
NZ_AP013028.1	229938	230366	+	50S ribosomal protein L17	WP_041045244.1	205	f3f3f3	-1
NZ_AP013028.1	230390	230752	+	hypothetical protein	WP_041045246.1	703	f3f3f3	-1
NZ_AP013028.1	231384	232400	+	phosphate ABC transporter substrate-binding protein	WP_041045248.1	1022	f3f3f3	-1
NZ_AP013028.1	234831	234992	+	hypothetical protein	WP_084221171.1	-1	f3f3f3	-1
NZ_AP013028.1	235340	235945	+	transposase	WP_145971834.1	-1	f3f3f3	-1
NZ_AP013028.1	236446	236706	-	IS5 family transposase	WP_145971835.1	-1	f3f3f3	-1
NZ_AP013028.1	237321	237590	-	hypothetical protein	WP_041045254.1	-1	f3f3f3	-1
NZ_AP013028.1	237804	238064	+	IS5 family transposase	WP_145971824.1	-1	f3f3f3	-1
NZ_AP013028.1	238565	238816	-	hypothetical protein	WP_041045256.1	-1	f3f3f3	-1
NZ_AP013028.1	239424	239684	-	IS5 family transposase	WP_145971824.1	-1	f3f3f3	-1
NZ_AP013028.1	239709	240245	-	hypothetical protein	WP_041045257.1	-1	f3f3f3	-1
NZ_AP013028.1	240414	242999	+	DNA polymerase I	WP_041045260.1	291	f3f3f3	-1
NZ_AP013028.1	243035	244129	+	hypothetical protein	WP_145971836.1	-1	f3f3f3	-1
NZ_AP013028.1	246882	248174	+	membrane protein	WP_041045266.1	1026	f3f3f3	-1
NZ_AP013028.1	248951	250189	-	cell division protein FtsA	WP_041045268.1	104	f3f3f3	-1
NZ_AP013028.1	250328	250856	+	peptide deformylase	WP_041045270.1	406	f3f3f3	-1
NZ_AP013028.1	250857	251672	+	uracil-DNA glycosylase	WP_041045272.1	732	f3f3f3	-1
NZ_AP013028.1	251926	253245	-	hypothetical protein	WP_041045274.1	-1	f3f3f3	-1
NZ_AP013028.1	253522	254793	+	MFS transporter	WP_041046556.1	-1	f3f3f3	-1
NZ_AP013028.1	254898	255314	-	nucleoside deaminase	WP_041045276.1	244	f3f3f3	-1
NZ_AP013028.1	255356	256960	-	CTP synthase	WP_041045278.1	392	f3f3f3	-1
NZ_AP013028.1	256960	257280	-	preprotein translocase subunit SecG	WP_041045280.1	977	f3f3f3	-1
NZ_AP013028.1	258448	258708	-	IS5 family transposase	WP_145971837.1	-1	f3f3f3	-1
NZ_AP013028.1	258950	259944	+	pyruvate dehydrogenase complex E1 component subunit beta	WP_041045282.1	410	f3f3f3	-1
NZ_AP013028.1	259945	261315	-	magnesium transporter	WP_041045283.1	571	f3f3f3	-1
NZ_AP013028.1	261470	261544	+	peptide chain release factor 2	WP_145971838.1	-1	f3f3f3	-1
NZ_AP013028.1	262640	264079	+	ankyrin repeat domain-containing protein	WP_052463184.1	2	f3f3f3	-1
NZ_AP013028.1	264125	264463	-	hypothetical protein	WP_145971839.1	-1	f3f3f3	-1
NZ_AP013028.1	264464	264673	+	hypothetical protein	WP_145971840.1	-1	f3f3f3	-1
NZ_AP013028.1	265514	265774	-	IS5 family transposase	WP_145971824.1	-1	f3f3f3	-1
NZ_AP013028.1	266639	267470	+	bifunctional hydroxymethylpyrimidine kinase/phosphomethylpyrimidine kinase	WP_041045285.1	491	f3f3f3	-1
NZ_AP013028.1	267471	268151	+	hypothetical protein	WP_052463185.1	1595	f3f3f3	-1
NZ_AP013028.1	268534	269130	+	ankyrin repeat domain-containing protein	WP_052463186.1	2	f3f3f3	-1
NZ_AP013028.1	269365	269934	+	ankyrin repeat domain-containing protein	WP_041045286.1	2	f3f3f3	-1
NZ_AP013028.1	270565	271518	+	recombinase family protein	WP_052463187.1	145	f3f3f3	-1
NZ_AP013028.1	271666	272046	+	hypothetical protein	WP_145971841.1	-1	f3f3f3	-1
NZ_AP013028.1	272377	272972	+	peroxiredoxin	WP_041045287.1	504	f3f3f3	-1
NZ_AP013028.1	272973	273929	+	thioredoxin-disulfide reductase	WP_041045288.1	324	f3f3f3	-1
NZ_AP013028.1	274012	275233	+	ankyrin repeat domain-containing protein	WP_052463189.1	-1	f3f3f3	-1
NZ_AP013028.1	275234	276149	-	tyrosine-type recombinase/integrase	WP_041045289.1	207	f3f3f3	-1
NZ_AP013028.1	276150	277530	-	dihydrolipoyl dehydrogenase	WP_041045291.1	37	f3f3f3	-1
NZ_AP013028.1	277531	278640	-	PQQ-binding-like beta-propeller repeat protein	WP_041045293.1	456	f3f3f3	-1
NZ_AP013028.1	278721	281099	-	DNA topoisomerase (ATP-hydrolyzing) subunit B	WP_041045294.1	403	f3f3f3	-1
NZ_AP013028.1	281394	281603	-	hypothetical protein	WP_145971842.1	-1	f3f3f3	-1
NZ_AP013028.1	283275	284189	-	hypothetical protein	WP_041045300.1	1597	f3f3f3	-1
NZ_AP013028.1	284354	284650	-	hypothetical protein	WP_041045302.1	-1	f3f3f3	-1
NZ_AP013028.1	286371	287000	-	oxidoreductase NAD-binding domain protein	WP_041046573.1	-1	f3f3f3	-1
NZ_AP013028.1	287117	287959	-	DUF2163 domain-containing protein	WP_041045304.1	976	f3f3f3	-1
NZ_AP013028.1	288132	288245	+	hypothetical protein	WP_145971882.1	-1	f3f3f3	-1
NZ_AP013028.1	292942	293202	+	IS5 family transposase	WP_145971824.1	-1	f3f3f3	-1
NZ_AP013028.1	293728	294000	-	IS5 family transposase	WP_041045306.1	446	f3f3f3	-1
NZ_AP013028.1	294520	295284	+	hypothetical protein	WP_052463193.1	965	f3f3f3	-1
NZ_AP013028.1	295360	296535	+	porin	WP_041045308.1	100	f3f3f3	-1
NZ_AP013028.1	296624	297754	+	cation:dicarboxylase symporter family transporter	WP_041046579.1	116	f3f3f3	-1
NZ_AP013028.1	297754	298362	+	tRNA (adenosine(37)-N6)-threonylcarbamoyltransferase complex dimerization subunit type 1 TsaB	WP_041045310.1	364	f3f3f3	-1
NZ_AP013028.1	299247	299900	+	hypothetical protein	WP_041046581.1	616	f3f3f3	-1
NZ_AP013028.1	300415	300675	-	IS5 family transposase	WP_145971835.1	-1	f3f3f3	-1
NZ_AP013028.1	301538	303367	+	translational GTPase TypA	WP_041045312.1	189	f3f3f3	-1
NZ_AP013028.1	303431	304327	+	Rpn family recombination-promoting nuclease/putative transposase	WP_041045314.1	17	f3f3f3	-1
NZ_AP013028.1	304335	305351	+	Mrp/NBP35 family ATP-binding protein	WP_041045316.1	263	f3f3f3	-1
NZ_AP013028.1	305402	306556	+	2-octaprenyl-6-methoxyphenyl hydroxylase	WP_041045318.1	188	f3f3f3	-1
